variate,price_mae_rp
beras_dki_cons,37
beras_jabar_cons,13
beras_jateng_cons,29
beras_jatim_cons,41
beras_sulsel_cons,54
beras_sumut_cons,57
bawang_dki_cons,"3,113"
bawang_jabar_cons,"2,160"
bawang_jateng_cons,"2,178"
bawang_jatim_cons,"2,176"
bawang_sulsel_cons,"1,667"
bawang_sumut_cons,"2,022"
cabai_dki_cons,"5,474"
cabai_jabar_cons,"5,005"
cabai_jateng_cons,"4,627"
cabai_jatim_cons,"4,263"
cabai_sulsel_cons,"3,299"
cabai_sumut_cons,"7,826"
beras_jabar_prod,33
beras_jateng_prod,57
beras_jatim_prod,57
beras_sulsel_prod,39
beras_sumut_prod,48
bawang_jabar_prod,"1,650"
bawang_jateng_prod,"1,298"
bawang_jatim_prod,"1,311"
bawang_sulsel_prod,"1,704"
bawang_sumut_prod,822
cabai_jabar_prod,"1,729"
cabai_jateng_prod,"1,564"
cabai_jatim_prod,"1,368"
cabai_sulsel_prod,721
cabai_sumut_prod,"3,061"
