variate,out_centrality,in_centrality,net_influence
beras_dki_cons,0.9688,0.1562,0.8125
cabai_sumut_cons,0.9375,0.1562,0.7812
beras_jabar_cons,0.875,0.1562,0.7188
beras_jateng_prod,0.9375,0.2812,0.6562
beras_sulsel_prod,0.625,0.2188,0.4062
bawang_jabar_prod,0.5312,0.3125,0.2188
cabai_jatim_prod,0.4688,0.25,0.2188
bawang_jabar_cons,0.3125,0.25,0.0625
beras_jatim_cons,0.3125,0.25,0.0625
beras_jabar_prod,0.2812,0.25,0.0312
beras_sumut_cons,0.2188,0.2188,0.0
cabai_dki_cons,0.1875,0.1875,0.0
bawang_sumut_cons,0.1875,0.2188,-0.0312
cabai_jateng_cons,0.3125,0.3438,-0.0312
cabai_jabar_cons,0.1562,0.2188,-0.0625
beras_sumut_prod,0.1875,0.2812,-0.0938
cabai_sulsel_prod,0.1562,0.2812,-0.125
bawang_sumut_prod,0.0938,0.25,-0.1562
beras_sulsel_cons,0.125,0.2812,-0.1562
cabai_sumut_prod,0.0312,0.2188,-0.1875
cabai_jabar_prod,0.0,0.1875,-0.1875
bawang_sulsel_cons,0.0938,0.2812,-0.1875
beras_jateng_cons,0.0625,0.25,-0.1875
bawang_sulsel_prod,0.0,0.1875,-0.1875
bawang_jatim_cons,0.0,0.2188,-0.2188
bawang_jatim_prod,0.0312,0.2812,-0.25
bawang_jateng_prod,0.0625,0.3125,-0.25
cabai_sulsel_cons,0.0312,0.2812,-0.25
cabai_jatim_cons,0.0312,0.2812,-0.25
bawang_dki_cons,0.0,0.2812,-0.2812
bawang_jateng_cons,0.0,0.2812,-0.2812
cabai_jateng_prod,0.0312,0.3125,-0.2812
beras_jatim_prod,0.0,0.3125,-0.3125
